fpath,mos,fpath_ori,ref_img
SRimages_resized/Bicubic/sf2/sigma0.8/104055.png,7.175,SRimages/Bicubic/sf2/sigma0.8/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/101084.png,7.725,SRimages/Bicubic/sf2/sigma0.8/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/48017.png,7.85,SRimages/Bicubic/sf2/sigma0.8/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/134049.png,6.825,SRimages/Bicubic/sf2/sigma0.8/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/228076.png,7.65,SRimages/Bicubic/sf2/sigma0.8/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/225022.png,7.825,SRimages/Bicubic/sf2/sigma0.8/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/141048.png,8.0,SRimages/Bicubic/sf2/sigma0.8/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/243095.png,7.025,SRimages/Bicubic/sf2/sigma0.8/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/107014.png,7.85,SRimages/Bicubic/sf2/sigma0.8/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/157032.png,8.125,SRimages/Bicubic/sf2/sigma0.8/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf2/sigma0.8/49024.png,7.975,SRimages/Bicubic/sf2/sigma0.8/49024.png,GTimages/49024.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/187058.png,5.375,SRimages/Bicubic/sf3/sigma1.0/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/130066.png,5.575,SRimages/Bicubic/sf3/sigma1.0/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/103006.png,6.125,SRimages/Bicubic/sf3/sigma1.0/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/117025.png,5.225,SRimages/Bicubic/sf3/sigma1.0/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/201080.png,6.275,SRimages/Bicubic/sf3/sigma1.0/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/368037.png,6.65,SRimages/Bicubic/sf3/sigma1.0/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/29030.png,6.025,SRimages/Bicubic/sf3/sigma1.0/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/226043.png,4.925,SRimages/Bicubic/sf3/sigma1.0/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/281017.png,5.425,SRimages/Bicubic/sf3/sigma1.0/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/35028.png,6.825,SRimages/Bicubic/sf3/sigma1.0/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/335094.png,4.775,SRimages/Bicubic/sf3/sigma1.0/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/259060.png,5.825,SRimages/Bicubic/sf3/sigma1.0/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/33044.png,5.85,SRimages/Bicubic/sf3/sigma1.0/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/335088.png,6.0,SRimages/Bicubic/sf3/sigma1.0/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/48025.png,6.35,SRimages/Bicubic/sf3/sigma1.0/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/94095.png,6.25,SRimages/Bicubic/sf3/sigma1.0/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/71076.png,6.2,SRimages/Bicubic/sf3/sigma1.0/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/36046.png,6.15,SRimages/Bicubic/sf3/sigma1.0/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/20069.png,5.875,SRimages/Bicubic/sf3/sigma1.0/20069.png,GTimages/20069.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/104055.png,6.375,SRimages/Bicubic/sf3/sigma1.0/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/101084.png,6.125,SRimages/Bicubic/sf3/sigma1.0/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/48017.png,6.525,SRimages/Bicubic/sf3/sigma1.0/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/134049.png,4.9,SRimages/Bicubic/sf3/sigma1.0/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/228076.png,6.425,SRimages/Bicubic/sf3/sigma1.0/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/225022.png,5.625,SRimages/Bicubic/sf3/sigma1.0/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/141048.png,7.175,SRimages/Bicubic/sf3/sigma1.0/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/243095.png,5.625,SRimages/Bicubic/sf3/sigma1.0/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/107014.png,6.025,SRimages/Bicubic/sf3/sigma1.0/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/157032.png,6.025,SRimages/Bicubic/sf3/sigma1.0/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf3/sigma1.0/49024.png,7.075,SRimages/Bicubic/sf3/sigma1.0/49024.png,GTimages/49024.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/187058.png,4.3,SRimages/Bicubic/sf4/sigma1.2/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/130066.png,4.9,SRimages/Bicubic/sf4/sigma1.2/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/103006.png,4.6,SRimages/Bicubic/sf4/sigma1.2/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/117025.png,4.375,SRimages/Bicubic/sf4/sigma1.2/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/201080.png,4.275,SRimages/Bicubic/sf4/sigma1.2/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/368037.png,5.65,SRimages/Bicubic/sf4/sigma1.2/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/29030.png,5.375,SRimages/Bicubic/sf4/sigma1.2/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/226043.png,4.125,SRimages/Bicubic/sf4/sigma1.2/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/281017.png,3.575,SRimages/Bicubic/sf4/sigma1.2/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/35028.png,5.45,SRimages/Bicubic/sf4/sigma1.2/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/335094.png,4.25,SRimages/Bicubic/sf4/sigma1.2/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/259060.png,4.85,SRimages/Bicubic/sf4/sigma1.2/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/33044.png,4.975,SRimages/Bicubic/sf4/sigma1.2/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/335088.png,4.475,SRimages/Bicubic/sf4/sigma1.2/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/48025.png,4.9,SRimages/Bicubic/sf4/sigma1.2/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/94095.png,4.825,SRimages/Bicubic/sf4/sigma1.2/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/71076.png,5.7,SRimages/Bicubic/sf4/sigma1.2/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/36046.png,5.45,SRimages/Bicubic/sf4/sigma1.2/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/20069.png,4.825,SRimages/Bicubic/sf4/sigma1.2/20069.png,GTimages/20069.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/104055.png,5.0,SRimages/Bicubic/sf4/sigma1.2/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/101084.png,4.35,SRimages/Bicubic/sf4/sigma1.2/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/48017.png,6.6,SRimages/Bicubic/sf4/sigma1.2/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/134049.png,2.95,SRimages/Bicubic/sf4/sigma1.2/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/228076.png,4.65,SRimages/Bicubic/sf4/sigma1.2/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/225022.png,4.8,SRimages/Bicubic/sf4/sigma1.2/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/141048.png,6.25,SRimages/Bicubic/sf4/sigma1.2/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/243095.png,4.25,SRimages/Bicubic/sf4/sigma1.2/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/107014.png,5.175,SRimages/Bicubic/sf4/sigma1.2/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/157032.png,4.625,SRimages/Bicubic/sf4/sigma1.2/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf4/sigma1.2/49024.png,5.45,SRimages/Bicubic/sf4/sigma1.2/49024.png,GTimages/49024.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/187058.png,2.35,SRimages/Bicubic/sf5/sigma1.6/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/130066.png,2.8,SRimages/Bicubic/sf5/sigma1.6/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/103006.png,3.5,SRimages/Bicubic/sf5/sigma1.6/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/117025.png,3.7,SRimages/Bicubic/sf5/sigma1.6/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/201080.png,3.625,SRimages/Bicubic/sf5/sigma1.6/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/368037.png,3.875,SRimages/Bicubic/sf5/sigma1.6/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/29030.png,3.475,SRimages/Bicubic/sf5/sigma1.6/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/226043.png,2.25,SRimages/Bicubic/sf5/sigma1.6/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/281017.png,2.975,SRimages/Bicubic/sf5/sigma1.6/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/35028.png,4.075,SRimages/Bicubic/sf5/sigma1.6/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/335094.png,2.45,SRimages/Bicubic/sf5/sigma1.6/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/259060.png,3.525,SRimages/Bicubic/sf5/sigma1.6/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/33044.png,3.225,SRimages/Bicubic/sf5/sigma1.6/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/335088.png,2.825,SRimages/Bicubic/sf5/sigma1.6/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/48025.png,3.1,SRimages/Bicubic/sf5/sigma1.6/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/94095.png,2.975,SRimages/Bicubic/sf5/sigma1.6/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/71076.png,4.825,SRimages/Bicubic/sf5/sigma1.6/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/36046.png,4.1,SRimages/Bicubic/sf5/sigma1.6/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/20069.png,3.05,SRimages/Bicubic/sf5/sigma1.6/20069.png,GTimages/20069.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/104055.png,3.525,SRimages/Bicubic/sf5/sigma1.6/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/101084.png,4.25,SRimages/Bicubic/sf5/sigma1.6/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/48017.png,5.05,SRimages/Bicubic/sf5/sigma1.6/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/134049.png,3.225,SRimages/Bicubic/sf5/sigma1.6/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/228076.png,3.95,SRimages/Bicubic/sf5/sigma1.6/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/225022.png,4.075,SRimages/Bicubic/sf5/sigma1.6/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/141048.png,5.025,SRimages/Bicubic/sf5/sigma1.6/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/243095.png,3.3,SRimages/Bicubic/sf5/sigma1.6/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/107014.png,4.05,SRimages/Bicubic/sf5/sigma1.6/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/157032.png,3.925,SRimages/Bicubic/sf5/sigma1.6/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf5/sigma1.6/49024.png,4.175,SRimages/Bicubic/sf5/sigma1.6/49024.png,GTimages/49024.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/187058.png,2.0,SRimages/Bicubic/sf6/sigma1.8/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/130066.png,3.2,SRimages/Bicubic/sf6/sigma1.8/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/103006.png,3.15,SRimages/Bicubic/sf6/sigma1.8/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/117025.png,3.45,SRimages/Bicubic/sf6/sigma1.8/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/201080.png,3.2,SRimages/Bicubic/sf6/sigma1.8/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/368037.png,4.05,SRimages/Bicubic/sf6/sigma1.8/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/29030.png,4.0,SRimages/Bicubic/sf6/sigma1.8/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/226043.png,2.375,SRimages/Bicubic/sf6/sigma1.8/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/281017.png,1.6,SRimages/Bicubic/sf6/sigma1.8/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/35028.png,3.825,SRimages/Bicubic/sf6/sigma1.8/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/335094.png,2.625,SRimages/Bicubic/sf6/sigma1.8/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/259060.png,3.025,SRimages/Bicubic/sf6/sigma1.8/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/33044.png,3.225,SRimages/Bicubic/sf6/sigma1.8/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/335088.png,3.15,SRimages/Bicubic/sf6/sigma1.8/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/48025.png,3.225,SRimages/Bicubic/sf6/sigma1.8/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/94095.png,1.75,SRimages/Bicubic/sf6/sigma1.8/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/71076.png,4.425,SRimages/Bicubic/sf6/sigma1.8/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/36046.png,3.1,SRimages/Bicubic/sf6/sigma1.8/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/20069.png,3.475,SRimages/Bicubic/sf6/sigma1.8/20069.png,GTimages/20069.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/104055.png,3.3,SRimages/Bicubic/sf6/sigma1.8/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/101084.png,3.775,SRimages/Bicubic/sf6/sigma1.8/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/48017.png,3.85,SRimages/Bicubic/sf6/sigma1.8/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/134049.png,2.125,SRimages/Bicubic/sf6/sigma1.8/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/228076.png,3.3,SRimages/Bicubic/sf6/sigma1.8/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/225022.png,2.725,SRimages/Bicubic/sf6/sigma1.8/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/141048.png,4.4,SRimages/Bicubic/sf6/sigma1.8/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/243095.png,2.85,SRimages/Bicubic/sf6/sigma1.8/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/107014.png,3.85,SRimages/Bicubic/sf6/sigma1.8/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/157032.png,3.675,SRimages/Bicubic/sf6/sigma1.8/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf6/sigma1.8/49024.png,3.45,SRimages/Bicubic/sf6/sigma1.8/49024.png,GTimages/49024.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/187058.png,1.775,SRimages/Bicubic/sf8/sigma2.0/187058.png,GTimages/187058.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/130066.png,1.9,SRimages/Bicubic/sf8/sigma2.0/130066.png,GTimages/130066.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/103006.png,2.05,SRimages/Bicubic/sf8/sigma2.0/103006.png,GTimages/103006.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/117025.png,2.625,SRimages/Bicubic/sf8/sigma2.0/117025.png,GTimages/117025.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/201080.png,2.55,SRimages/Bicubic/sf8/sigma2.0/201080.png,GTimages/201080.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/368037.png,2.55,SRimages/Bicubic/sf8/sigma2.0/368037.png,GTimages/368037.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/29030.png,3.3,SRimages/Bicubic/sf8/sigma2.0/29030.png,GTimages/29030.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/226043.png,1.525,SRimages/Bicubic/sf8/sigma2.0/226043.png,GTimages/226043.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/281017.png,1.575,SRimages/Bicubic/sf8/sigma2.0/281017.png,GTimages/281017.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/35028.png,2.525,SRimages/Bicubic/sf8/sigma2.0/35028.png,GTimages/35028.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/335094.png,2.05,SRimages/Bicubic/sf8/sigma2.0/335094.png,GTimages/335094.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/259060.png,2.8,SRimages/Bicubic/sf8/sigma2.0/259060.png,GTimages/259060.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/33044.png,2.5,SRimages/Bicubic/sf8/sigma2.0/33044.png,GTimages/33044.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/335088.png,2.2,SRimages/Bicubic/sf8/sigma2.0/335088.png,GTimages/335088.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/48025.png,2.25,SRimages/Bicubic/sf8/sigma2.0/48025.png,GTimages/48025.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/94095.png,1.8,SRimages/Bicubic/sf8/sigma2.0/94095.png,GTimages/94095.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/71076.png,2.975,SRimages/Bicubic/sf8/sigma2.0/71076.png,GTimages/71076.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/36046.png,2.8,SRimages/Bicubic/sf8/sigma2.0/36046.png,GTimages/36046.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/20069.png,2.125,SRimages/Bicubic/sf8/sigma2.0/20069.png,GTimages/20069.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/104055.png,2.275,SRimages/Bicubic/sf8/sigma2.0/104055.png,GTimages/104055.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/101084.png,2.725,SRimages/Bicubic/sf8/sigma2.0/101084.png,GTimages/101084.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/48017.png,3.775,SRimages/Bicubic/sf8/sigma2.0/48017.png,GTimages/48017.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/134049.png,2.05,SRimages/Bicubic/sf8/sigma2.0/134049.png,GTimages/134049.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/228076.png,2.6,SRimages/Bicubic/sf8/sigma2.0/228076.png,GTimages/228076.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/225022.png,2.475,SRimages/Bicubic/sf8/sigma2.0/225022.png,GTimages/225022.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/141048.png,2.625,SRimages/Bicubic/sf8/sigma2.0/141048.png,GTimages/141048.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/243095.png,2.65,SRimages/Bicubic/sf8/sigma2.0/243095.png,GTimages/243095.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/107014.png,2.875,SRimages/Bicubic/sf8/sigma2.0/107014.png,GTimages/107014.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/157032.png,2.675,SRimages/Bicubic/sf8/sigma2.0/157032.png,GTimages/157032.jpg
SRimages_resized/Bicubic/sf8/sigma2.0/49024.png,3.325,SRimages/Bicubic/sf8/sigma2.0/49024.png,GTimages/49024.jpg
SRimages_resized/BP/sf2/sigma0.8/187058.png,7.95,SRimages/BP/sf2/sigma0.8/187058.png,GTimages/187058.jpg
SRimages_resized/BP/sf2/sigma0.8/130066.png,7.525,SRimages/BP/sf2/sigma0.8/130066.png,GTimages/130066.jpg
SRimages_resized/BP/sf2/sigma0.8/103006.png,8.425,SRimages/BP/sf2/sigma0.8/103006.png,GTimages/103006.jpg
SRimages_resized/BP/sf2/sigma0.8/117025.png,7.375,SRimages/BP/sf2/sigma0.8/117025.png,GTimages/117025.jpg
SRimages_resized/BP/sf2/sigma0.8/201080.png,8.85,SRimages/BP/sf2/sigma0.8/201080.png,GTimages/201080.jpg
SRimages_resized/BP/sf2/sigma0.8/368037.png,8.825,SRimages/BP/sf2/sigma0.8/368037.png,GTimages/368037.jpg
SRimages_resized/BP/sf2/sigma0.8/29030.png,8.55,SRimages/BP/sf2/sigma0.8/29030.png,GTimages/29030.jpg
SRimages_resized/BP/sf2/sigma0.8/226043.png,7.35,SRimages/BP/sf2/sigma0.8/226043.png,GTimages/226043.jpg
SRimages_resized/BP/sf2/sigma0.8/281017.png,7.375,SRimages/BP/sf2/sigma0.8/281017.png,GTimages/281017.jpg
SRimages_resized/BP/sf2/sigma0.8/35028.png,8.5,SRimages/BP/sf2/sigma0.8/35028.png,GTimages/35028.jpg
SRimages_resized/BP/sf2/sigma0.8/335094.png,8.375,SRimages/BP/sf2/sigma0.8/335094.png,GTimages/335094.jpg
SRimages_resized/BP/sf2/sigma0.8/259060.png,8.175,SRimages/BP/sf2/sigma0.8/259060.png,GTimages/259060.jpg
