fpath,img,dist,ver,mos,ref_img
distorted_images/i01_18_3.bmp,I01,18,3,3.7714300000000005,reference_images/i01.bmp
distorted_images/i01_18_4.bmp,I01,18,4,3.4722199999999996,reference_images/i01.bmp
distorted_images/i01_18_5.bmp,I01,18,5,3.41667,reference_images/i01.bmp
distorted_images/i01_19_1.bmp,I01,19,1,5.94444,reference_images/i01.bmp
distorted_images/i01_19_2.bmp,I01,19,2,5.47222,reference_images/i01.bmp
distorted_images/i01_19_3.bmp,I01,19,3,5.08108,reference_images/i01.bmp
distorted_images/i01_19_4.bmp,I01,19,4,4.52778,reference_images/i01.bmp
distorted_images/i01_19_5.bmp,I01,19,5,3.94444,reference_images/i01.bmp
distorted_images/i01_20_1.bmp,I01,20,1,5.85714,reference_images/i01.bmp
distorted_images/i01_20_2.bmp,I01,20,2,5.83333,reference_images/i01.bmp
distorted_images/i01_20_3.bmp,I01,20,3,6.02778,reference_images/i01.bmp
distorted_images/i01_20_4.bmp,I01,20,4,5.08333,reference_images/i01.bmp
distorted_images/i01_20_5.bmp,I01,20,5,4.33333,reference_images/i01.bmp
distorted_images/i01_21_1.bmp,I01,21,1,5.7027,reference_images/i01.bmp
distorted_images/i01_21_2.bmp,I01,21,2,5.27778,reference_images/i01.bmp
distorted_images/i01_21_3.bmp,I01,21,3,4.675680000000001,reference_images/i01.bmp
distorted_images/i01_21_4.bmp,I01,21,4,4.05714,reference_images/i01.bmp
distorted_images/i01_21_5.bmp,I01,21,5,3.05405,reference_images/i01.bmp
distorted_images/i01_22_1.bmp,I01,22,1,5.55556,reference_images/i01.bmp
distorted_images/i01_22_2.bmp,I01,22,2,5.18919,reference_images/i01.bmp
distorted_images/i01_22_3.bmp,I01,22,3,4.30556,reference_images/i01.bmp
distorted_images/i01_22_4.bmp,I01,22,4,3.1621599999999996,reference_images/i01.bmp
distorted_images/i01_22_5.bmp,I01,22,5,2.19444,reference_images/i01.bmp
distorted_images/i01_23_1.bmp,I01,23,1,6.28571,reference_images/i01.bmp
distorted_images/i01_23_2.bmp,I01,23,2,5.61111,reference_images/i01.bmp
distorted_images/i01_23_3.bmp,I01,23,3,5.77778,reference_images/i01.bmp
distorted_images/i01_23_4.bmp,I01,23,4,4.80556,reference_images/i01.bmp
distorted_images/i01_23_5.bmp,I01,23,5,2.40541,reference_images/i01.bmp
distorted_images/i01_24_1.bmp,I01,24,1,5.7027,reference_images/i01.bmp
distorted_images/i01_24_2.bmp,I01,24,2,5.58333,reference_images/i01.bmp
distorted_images/i01_24_3.bmp,I01,24,3,5.10811,reference_images/i01.bmp
distorted_images/i01_24_4.bmp,I01,24,4,3.08108,reference_images/i01.bmp
distorted_images/i01_24_5.bmp,I01,24,5,0.45946000000000004,reference_images/i01.bmp
distorted_images/i02_01_1.bmp,I02,01,1,5.74286,reference_images/i02.bmp
distorted_images/i02_01_2.bmp,I02,01,2,5.34286,reference_images/i02.bmp
distorted_images/i02_01_3.bmp,I02,01,3,5.22222,reference_images/i02.bmp
distorted_images/i02_01_4.bmp,I02,01,4,4.19444,reference_images/i02.bmp
distorted_images/i02_01_5.bmp,I02,01,5,3.9729699999999997,reference_images/i02.bmp
distorted_images/i02_02_1.bmp,I02,02,1,6.05556,reference_images/i02.bmp
distorted_images/i02_02_2.bmp,I02,02,2,6.05405,reference_images/i02.bmp
distorted_images/i02_02_3.bmp,I02,02,3,5.88889,reference_images/i02.bmp
distorted_images/i02_02_4.bmp,I02,02,4,5.2973,reference_images/i02.bmp
distorted_images/i02_02_5.bmp,I02,02,5,4.38889,reference_images/i02.bmp
distorted_images/i02_03_1.bmp,I02,03,1,4.8,reference_images/i02.bmp
distorted_images/i02_03_2.bmp,I02,03,2,4.43243,reference_images/i02.bmp
distorted_images/i02_03_3.bmp,I02,03,3,3.8378400000000004,reference_images/i02.bmp
distorted_images/i02_03_4.bmp,I02,03,4,3.5277800000000004,reference_images/i02.bmp
distorted_images/i02_03_5.bmp,I02,03,5,2.91892,reference_images/i02.bmp
distorted_images/i02_04_1.bmp,I02,04,1,6.28571,reference_images/i02.bmp
distorted_images/i02_04_2.bmp,I02,04,2,6.16216,reference_images/i02.bmp
distorted_images/i02_04_3.bmp,I02,04,3,5.19444,reference_images/i02.bmp
distorted_images/i02_04_4.bmp,I02,04,4,4.74286,reference_images/i02.bmp
distorted_images/i02_04_5.bmp,I02,04,5,4.28571,reference_images/i02.bmp
distorted_images/i02_05_1.bmp,I02,05,1,6.11765,reference_images/i02.bmp
distorted_images/i02_05_2.bmp,I02,05,2,6.11111,reference_images/i02.bmp
distorted_images/i02_05_3.bmp,I02,05,3,5.43243,reference_images/i02.bmp
distorted_images/i02_05_4.bmp,I02,05,4,4.37838,reference_images/i02.bmp
distorted_images/i02_05_5.bmp,I02,05,5,3.41667,reference_images/i02.bmp
distorted_images/i02_06_1.bmp,I02,06,1,4.55556,reference_images/i02.bmp
distorted_images/i02_06_2.bmp,I02,06,2,4.27778,reference_images/i02.bmp
distorted_images/i02_06_3.bmp,I02,06,3,3.7297300000000004,reference_images/i02.bmp
distorted_images/i02_06_4.bmp,I02,06,4,3.4857099999999996,reference_images/i02.bmp
distorted_images/i02_06_5.bmp,I02,06,5,3.10811,reference_images/i02.bmp
distorted_images/i02_07_1.bmp,I02,07,1,5.91429,reference_images/i02.bmp
distorted_images/i02_07_2.bmp,I02,07,2,5.58333,reference_images/i02.bmp
distorted_images/i02_07_3.bmp,I02,07,3,3.76471,reference_images/i02.bmp
distorted_images/i02_07_4.bmp,I02,07,4,3.75676,reference_images/i02.bmp
distorted_images/i02_07_5.bmp,I02,07,5,2.8571400000000002,reference_images/i02.bmp
distorted_images/i02_08_1.bmp,I02,08,1,6.10811,reference_images/i02.bmp
distorted_images/i02_08_2.bmp,I02,08,2,5.16667,reference_images/i02.bmp
distorted_images/i02_08_3.bmp,I02,08,3,4.54286,reference_images/i02.bmp
distorted_images/i02_08_4.bmp,I02,08,4,3.8378400000000004,reference_images/i02.bmp
distorted_images/i02_08_5.bmp,I02,08,5,3.02703,reference_images/i02.bmp
distorted_images/i02_09_1.bmp,I02,09,1,6.0,reference_images/i02.bmp
distorted_images/i02_09_2.bmp,I02,09,2,5.51429,reference_images/i02.bmp
distorted_images/i02_09_3.bmp,I02,09,3,4.52778,reference_images/i02.bmp
distorted_images/i02_09_4.bmp,I02,09,4,3.64865,reference_images/i02.bmp
distorted_images/i02_09_5.bmp,I02,09,5,2.41667,reference_images/i02.bmp
distorted_images/i02_10_1.bmp,I02,10,1,6.0,reference_images/i02.bmp
distorted_images/i02_10_2.bmp,I02,10,2,5.97222,reference_images/i02.bmp
distorted_images/i02_10_3.bmp,I02,10,3,5.43243,reference_images/i02.bmp
distorted_images/i02_10_4.bmp,I02,10,4,3.5,reference_images/i02.bmp
distorted_images/i02_10_5.bmp,I02,10,5,2.71429,reference_images/i02.bmp
distorted_images/i02_11_1.bmp,I02,11,1,5.91667,reference_images/i02.bmp
distorted_images/i02_11_2.bmp,I02,11,2,4.80556,reference_images/i02.bmp
distorted_images/i02_11_3.bmp,I02,11,3,2.97297,reference_images/i02.bmp
distorted_images/i02_11_4.bmp,I02,11,4,1.9189200000000002,reference_images/i02.bmp
distorted_images/i02_11_5.bmp,I02,11,5,1.27778,reference_images/i02.bmp
distorted_images/i02_12_1.bmp,I02,12,1,5.30556,reference_images/i02.bmp
distorted_images/i02_12_2.bmp,I02,12,2,4.43243,reference_images/i02.bmp
distorted_images/i02_12_3.bmp,I02,12,3,3.08108,reference_images/i02.bmp
distorted_images/i02_12_4.bmp,I02,12,4,2.67568,reference_images/i02.bmp
distorted_images/i02_12_5.bmp,I02,12,5,2.37143,reference_images/i02.bmp
distorted_images/i02_13_1.bmp,I02,13,1,4.47222,reference_images/i02.bmp
distorted_images/i02_13_2.bmp,I02,13,2,4.0,reference_images/i02.bmp
distorted_images/i02_13_3.bmp,I02,13,3,3.38889,reference_images/i02.bmp
distorted_images/i02_13_4.bmp,I02,13,4,2.89189,reference_images/i02.bmp
distorted_images/i02_13_5.bmp,I02,13,5,3.61111,reference_images/i02.bmp
distorted_images/i02_14_1.bmp,I02,14,1,5.75,reference_images/i02.bmp
distorted_images/i02_14_2.bmp,I02,14,2,6.08108,reference_images/i02.bmp
distorted_images/i02_14_3.bmp,I02,14,3,5.1142900000000004,reference_images/i02.bmp
distorted_images/i02_14_4.bmp,I02,14,4,5.31429,reference_images/i02.bmp
distorted_images/i02_14_5.bmp,I02,14,5,4.21622,reference_images/i02.bmp
distorted_images/i02_15_1.bmp,I02,15,1,3.4,reference_images/i02.bmp
distorted_images/i02_15_2.bmp,I02,15,2,3.6216199999999996,reference_images/i02.bmp
distorted_images/i02_15_3.bmp,I02,15,3,3.83333,reference_images/i02.bmp
distorted_images/i02_15_4.bmp,I02,15,4,3.8378400000000004,reference_images/i02.bmp
distorted_images/i02_15_5.bmp,I02,15,5,4.2,reference_images/i02.bmp
distorted_images/i02_16_1.bmp,I02,16,1,5.94595,reference_images/i02.bmp
distorted_images/i02_16_2.bmp,I02,16,2,6.08333,reference_images/i02.bmp
distorted_images/i02_16_3.bmp,I02,16,3,5.324319999999999,reference_images/i02.bmp
distorted_images/i02_16_4.bmp,I02,16,4,5.13889,reference_images/i02.bmp
distorted_images/i02_16_5.bmp,I02,16,5,4.56757,reference_images/i02.bmp
distorted_images/i02_17_1.bmp,I02,17,1,5.91667,reference_images/i02.bmp
distorted_images/i02_17_2.bmp,I02,17,2,5.68571,reference_images/i02.bmp
distorted_images/i02_17_3.bmp,I02,17,3,4.83784,reference_images/i02.bmp
distorted_images/i02_17_4.bmp,I02,17,4,4.7714300000000005,reference_images/i02.bmp
distorted_images/i02_17_5.bmp,I02,17,5,3.91667,reference_images/i02.bmp
distorted_images/i02_18_1.bmp,I02,18,1,5.97222,reference_images/i02.bmp
distorted_images/i02_18_2.bmp,I02,18,2,5.59459,reference_images/i02.bmp
distorted_images/i02_18_3.bmp,I02,18,3,4.82857,reference_images/i02.bmp
distorted_images/i02_18_4.bmp,I02,18,4,4.91892,reference_images/i02.bmp
distorted_images/i02_18_5.bmp,I02,18,5,4.54286,reference_images/i02.bmp
distorted_images/i02_19_1.bmp,I02,19,1,5.77778,reference_images/i02.bmp
distorted_images/i02_19_2.bmp,I02,19,2,5.43243,reference_images/i02.bmp
distorted_images/i02_19_3.bmp,I02,19,3,4.83333,reference_images/i02.bmp
distorted_images/i02_19_4.bmp,I02,19,4,4.22222,reference_images/i02.bmp
distorted_images/i02_19_5.bmp,I02,19,5,3.75676,reference_images/i02.bmp
distorted_images/i02_20_1.bmp,I02,20,1,6.05405,reference_images/i02.bmp
distorted_images/i02_20_2.bmp,I02,20,2,6.17143,reference_images/i02.bmp
distorted_images/i02_20_3.bmp,I02,20,3,5.30556,reference_images/i02.bmp
distorted_images/i02_20_4.bmp,I02,20,4,4.0,reference_images/i02.bmp
distorted_images/i02_20_5.bmp,I02,20,5,2.80556,reference_images/i02.bmp
distorted_images/i02_21_1.bmp,I02,21,1,5.97297,reference_images/i02.bmp
distorted_images/i02_21_2.bmp,I02,21,2,5.2973,reference_images/i02.bmp
distorted_images/i02_21_3.bmp,I02,21,3,4.6,reference_images/i02.bmp
distorted_images/i02_21_4.bmp,I02,21,4,3.2777800000000004,reference_images/i02.bmp
distorted_images/i02_21_5.bmp,I02,21,5,2.36111,reference_images/i02.bmp
distorted_images/i02_22_1.bmp,I02,22,1,5.51351,reference_images/i02.bmp
distorted_images/i02_22_2.bmp,I02,22,2,5.24324,reference_images/i02.bmp
distorted_images/i02_22_3.bmp,I02,22,3,4.48571,reference_images/i02.bmp
distorted_images/i02_22_4.bmp,I02,22,4,3.80556,reference_images/i02.bmp
distorted_images/i02_22_5.bmp,I02,22,5,2.22222,reference_images/i02.bmp
distorted_images/i02_23_1.bmp,I02,23,1,6.77778,reference_images/i02.bmp
distorted_images/i02_23_2.bmp,I02,23,2,5.54054,reference_images/i02.bmp
distorted_images/i02_23_3.bmp,I02,23,3,3.44444,reference_images/i02.bmp
distorted_images/i02_23_4.bmp,I02,23,4,2.1621599999999996,reference_images/i02.bmp
distorted_images/i02_23_5.bmp,I02,23,5,0.81081,reference_images/i02.bmp
distorted_images/i02_24_1.bmp,I02,24,1,6.08108,reference_images/i02.bmp
distorted_images/i02_24_2.bmp,I02,24,2,4.91667,reference_images/i02.bmp
distorted_images/i02_24_3.bmp,I02,24,3,3.0,reference_images/i02.bmp
distorted_images/i02_24_4.bmp,I02,24,4,2.11111,reference_images/i02.bmp
distorted_images/i02_24_5.bmp,I02,24,5,0.89189,reference_images/i02.bmp
distorted_images/i03_01_1.bmp,I03,01,1,5.76923,reference_images/i03.bmp
distorted_images/i03_01_2.bmp,I03,01,2,5.1052599999999995,reference_images/i03.bmp
distorted_images/i03_01_3.bmp,I03,01,3,4.68421,reference_images/i03.bmp
distorted_images/i03_01_4.bmp,I03,01,4,4.25,reference_images/i03.bmp
distorted_images/i03_01_5.bmp,I03,01,5,3.925,reference_images/i03.bmp
distorted_images/i03_02_1.bmp,I03,02,1,6.18421,reference_images/i03.bmp
distorted_images/i03_02_2.bmp,I03,02,2,6.28205,reference_images/i03.bmp
distorted_images/i03_02_3.bmp,I03,02,3,5.25,reference_images/i03.bmp
distorted_images/i03_02_4.bmp,I03,02,4,5.0,reference_images/i03.bmp
distorted_images/i03_02_5.bmp,I03,02,5,4.6,reference_images/i03.bmp
distorted_images/i03_03_1.bmp,I03,03,1,4.65,reference_images/i03.bmp
distorted_images/i03_03_2.bmp,I03,03,2,4.076919999999999,reference_images/i03.bmp
distorted_images/i03_03_3.bmp,I03,03,3,3.85,reference_images/i03.bmp
distorted_images/i03_03_4.bmp,I03,03,4,3.28205,reference_images/i03.bmp
distorted_images/i03_03_5.bmp,I03,03,5,2.89474,reference_images/i03.bmp
distorted_images/i03_04_1.bmp,I03,04,1,6.38462,reference_images/i03.bmp
distorted_images/i03_04_2.bmp,I03,04,2,5.65789,reference_images/i03.bmp
distorted_images/i03_04_3.bmp,I03,04,3,5.225,reference_images/i03.bmp
distorted_images/i03_04_4.bmp,I03,04,4,4.6,reference_images/i03.bmp
distorted_images/i03_04_5.bmp,I03,04,5,3.575,reference_images/i03.bmp
distorted_images/i03_05_1.bmp,I03,05,1,6.5,reference_images/i03.bmp
distorted_images/i03_05_2.bmp,I03,05,2,5.6315800000000005,reference_images/i03.bmp
distorted_images/i03_05_3.bmp,I03,05,3,5.3,reference_images/i03.bmp
distorted_images/i03_05_4.bmp,I03,05,4,4.30769,reference_images/i03.bmp
distorted_images/i03_05_5.bmp,I03,05,5,3.4736800000000003,reference_images/i03.bmp
distorted_images/i03_06_1.bmp,I03,06,1,4.81579,reference_images/i03.bmp
distorted_images/i03_06_2.bmp,I03,06,2,4.53846,reference_images/i03.bmp
distorted_images/i03_06_3.bmp,I03,06,3,4.1,reference_images/i03.bmp
distorted_images/i03_06_4.bmp,I03,06,4,3.75,reference_images/i03.bmp
distorted_images/i03_06_5.bmp,I03,06,5,3.5,reference_images/i03.bmp
distorted_images/i03_07_1.bmp,I03,07,1,4.97436,reference_images/i03.bmp
distorted_images/i03_07_2.bmp,I03,07,2,4.1,reference_images/i03.bmp
distorted_images/i03_07_3.bmp,I03,07,3,3.84615,reference_images/i03.bmp
distorted_images/i03_07_4.bmp,I03,07,4,3.825,reference_images/i03.bmp
distorted_images/i03_07_5.bmp,I03,07,5,3.6153800000000005,reference_images/i03.bmp
distorted_images/i03_08_1.bmp,I03,08,1,6.34211,reference_images/i03.bmp
distorted_images/i03_08_2.bmp,I03,08,2,5.6,reference_images/i03.bmp
distorted_images/i03_08_3.bmp,I03,08,3,4.47368,reference_images/i03.bmp
distorted_images/i03_08_4.bmp,I03,08,4,3.75,reference_images/i03.bmp
distorted_images/i03_08_5.bmp,I03,08,5,2.95,reference_images/i03.bmp
distorted_images/i03_09_1.bmp,I03,09,1,6.65,reference_images/i03.bmp
distorted_images/i03_09_2.bmp,I03,09,2,6.25641,reference_images/i03.bmp
distorted_images/i03_09_3.bmp,I03,09,3,5.475,reference_images/i03.bmp
distorted_images/i03_09_4.bmp,I03,09,4,3.74359,reference_images/i03.bmp
distorted_images/i03_09_5.bmp,I03,09,5,2.47368,reference_images/i03.bmp
distorted_images/i03_10_1.bmp,I03,10,1,6.23684,reference_images/i03.bmp
distorted_images/i03_10_2.bmp,I03,10,2,5.66667,reference_images/i03.bmp
distorted_images/i03_10_3.bmp,I03,10,3,5.05128,reference_images/i03.bmp
distorted_images/i03_10_4.bmp,I03,10,4,3.3,reference_images/i03.bmp
distorted_images/i03_10_5.bmp,I03,10,5,2.48718,reference_images/i03.bmp
distorted_images/i03_11_1.bmp,I03,11,1,5.3684199999999995,reference_images/i03.bmp
distorted_images/i03_11_2.bmp,I03,11,2,4.076919999999999,reference_images/i03.bmp
distorted_images/i03_11_3.bmp,I03,11,3,2.84615,reference_images/i03.bmp
distorted_images/i03_11_4.bmp,I03,11,4,1.8205099999999999,reference_images/i03.bmp
distorted_images/i03_11_5.bmp,I03,11,5,0.7,reference_images/i03.bmp
distorted_images/i03_12_1.bmp,I03,12,1,5.41026,reference_images/i03.bmp
distorted_images/i03_12_2.bmp,I03,12,2,4.07895,reference_images/i03.bmp
distorted_images/i03_12_3.bmp,I03,12,3,2.84211,reference_images/i03.bmp
distorted_images/i03_12_4.bmp,I03,12,4,3.1,reference_images/i03.bmp
distorted_images/i03_12_5.bmp,I03,12,5,2.4,reference_images/i03.bmp
distorted_images/i03_13_1.bmp,I03,13,1,5.12821,reference_images/i03.bmp
distorted_images/i03_13_2.bmp,I03,13,2,3.64103,reference_images/i03.bmp
distorted_images/i03_13_3.bmp,I03,13,3,3.925,reference_images/i03.bmp
distorted_images/i03_13_4.bmp,I03,13,4,2.925,reference_images/i03.bmp
distorted_images/i03_13_5.bmp,I03,13,5,2.42105,reference_images/i03.bmp
distorted_images/i03_14_1.bmp,I03,14,1,5.076919999999999,reference_images/i03.bmp
distorted_images/i03_14_2.bmp,I03,14,2,6.0,reference_images/i03.bmp
distorted_images/i03_14_3.bmp,I03,14,3,4.85,reference_images/i03.bmp
distorted_images/i03_14_4.bmp,I03,14,4,4.46154,reference_images/i03.bmp
distorted_images/i03_14_5.bmp,I03,14,5,3.5,reference_images/i03.bmp
distorted_images/i03_15_1.bmp,I03,15,1,3.725,reference_images/i03.bmp
distorted_images/i03_15_2.bmp,I03,15,2,4.05,reference_images/i03.bmp
distorted_images/i03_15_3.bmp,I03,15,3,4.025,reference_images/i03.bmp
distorted_images/i03_15_4.bmp,I03,15,4,4.28205,reference_images/i03.bmp
distorted_images/i03_15_5.bmp,I03,15,5,4.7948699999999995,reference_images/i03.bmp
distorted_images/i03_16_1.bmp,I03,16,1,6.8205100000000005,reference_images/i03.bmp
distorted_images/i03_16_2.bmp,I03,16,2,6.525,reference_images/i03.bmp
distorted_images/i03_16_3.bmp,I03,16,3,5.975,reference_images/i03.bmp
distorted_images/i03_16_4.bmp,I03,16,4,6.075,reference_images/i03.bmp
distorted_images/i03_16_5.bmp,I03,16,5,5.02564,reference_images/i03.bmp
distorted_images/i03_17_1.bmp,I03,17,1,6.28205,reference_images/i03.bmp
distorted_images/i03_17_2.bmp,I03,17,2,6.75,reference_images/i03.bmp
distorted_images/i03_17_3.bmp,I03,17,3,5.2,reference_images/i03.bmp
distorted_images/i03_17_4.bmp,I03,17,4,6.575,reference_images/i03.bmp
distorted_images/i03_17_5.bmp,I03,17,5,3.7948699999999995,reference_images/i03.bmp
distorted_images/i03_18_1.bmp,I03,18,1,5.76923,reference_images/i03.bmp
distorted_images/i03_18_2.bmp,I03,18,2,5.71795,reference_images/i03.bmp
distorted_images/i03_18_3.bmp,I03,18,3,5.5641,reference_images/i03.bmp
distorted_images/i03_18_4.bmp,I03,18,4,5.0,reference_images/i03.bmp
distorted_images/i03_18_5.bmp,I03,18,5,4.65789,reference_images/i03.bmp
distorted_images/i03_19_1.bmp,I03,19,1,5.51282,reference_images/i03.bmp
distorted_images/i03_19_2.bmp,I03,19,2,5.02564,reference_images/i03.bmp
distorted_images/i03_19_3.bmp,I03,19,3,4.7,reference_images/i03.bmp
distorted_images/i03_19_4.bmp,I03,19,4,4.30769,reference_images/i03.bmp
distorted_images/i03_19_5.bmp,I03,19,5,3.69231,reference_images/i03.bmp
distorted_images/i03_20_1.bmp,I03,20,1,5.84211,reference_images/i03.bmp
distorted_images/i03_20_2.bmp,I03,20,2,5.46154,reference_images/i03.bmp
