fpath,mos,description,ref_img
jp2k/img92.bmp,36.651332405233276,statue,refimgs/statue.bmp
jp2k/img94.bmp,30.248805104886298,manfishing,refimgs/manfishing.bmp
jp2k/img96.bmp,32.25567981412338,parrots,refimgs/parrots.bmp
jp2k/img98.bmp,42.538558970763944,cemetry,refimgs/cemetry.bmp
jp2k/img99.bmp,50.18890942469288,womanhat,refimgs/womanhat.bmp
jp2k/img101.bmp,10.234730985641715,parrots,refimgs/parrots.bmp
jp2k/img102.bmp,6.724372369964854,statue,refimgs/statue.bmp
jp2k/img103.bmp,10.088204403320535,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img104.bmp,46.68236218261797,woman,refimgs/woman.bmp
jp2k/img105.bmp,7.557459980934176,monarch,refimgs/monarch.bmp
jp2k/img106.bmp,48.61615667390731,lighthouse,refimgs/lighthouse.bmp
jp2k/img107.bmp,79.84747926885252,building2,refimgs/building2.bmp
jp2k/img108.bmp,43.66138899674546,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img109.bmp,35.73735899461327,sailing3,refimgs/sailing3.bmp
jp2k/img111.bmp,15.82182560398103,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img113.bmp,12.564926162224069,plane,refimgs/plane.bmp
jp2k/img114.bmp,12.80273252847908,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img115.bmp,67.09045174168914,bikes,refimgs/bikes.bmp
jp2k/img116.bmp,46.92014897186908,statue,refimgs/statue.bmp
jp2k/img120.bmp,40.33848092661777,ocean,refimgs/ocean.bmp
jp2k/img121.bmp,91.37246032042904,manfishing,refimgs/manfishing.bmp
jp2k/img122.bmp,58.55909813379443,caps,refimgs/caps.bmp
jp2k/img124.bmp,52.154629253222005,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img125.bmp,25.72392003888736,cemetry,refimgs/cemetry.bmp
jp2k/img126.bmp,10.712712959196345,rapids,refimgs/rapids.bmp
jp2k/img127.bmp,74.95826410045794,parrots,refimgs/parrots.bmp
jp2k/img129.bmp,15.242823326616556,bikes,refimgs/bikes.bmp
jp2k/img130.bmp,42.497069418167996,sailing3,refimgs/sailing3.bmp
jp2k/img132.bmp,22.538784832597898,building2,refimgs/building2.bmp
jp2k/img133.bmp,40.04985108989743,bikes,refimgs/bikes.bmp
jp2k/img135.bmp,84.91378457435593,rapids,refimgs/rapids.bmp
jp2k/img136.bmp,33.81064694785772,sailing1,refimgs/sailing1.bmp
jp2k/img137.bmp,60.61338357551887,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img138.bmp,56.3267477648128,sailing2,refimgs/sailing2.bmp
jp2k/img141.bmp,6.153192300554039,sailing2,refimgs/sailing2.bmp
jp2k/img142.bmp,43.99770274794575,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img143.bmp,44.77638094880946,manfishing,refimgs/manfishing.bmp
jp2k/img144.bmp,65.45198981342284,house,refimgs/house.bmp
jp2k/img146.bmp,56.161238884900456,rapids,refimgs/rapids.bmp
jp2k/img148.bmp,11.46973848743795,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img149.bmp,33.11179598113043,lighthouse,refimgs/lighthouse.bmp
jp2k/img150.bmp,5.325990809336403,woman,refimgs/woman.bmp
jp2k/img152.bmp,62.74881178263061,woman,refimgs/woman.bmp
jp2k/img154.bmp,68.53124109916048,sailing3,refimgs/sailing3.bmp
jp2k/img155.bmp,81.40061954776587,woman,refimgs/woman.bmp
jp2k/img156.bmp,71.45072855297293,buildings,refimgs/buildings.bmp
jp2k/img158.bmp,62.580036080726586,parrots,refimgs/parrots.bmp
jp2k/img160.bmp,58.753804200609366,monarch,refimgs/monarch.bmp
jp2k/img162.bmp,12.158282195710306,statue,refimgs/statue.bmp
jp2k/img163.bmp,49.973083632723416,building2,refimgs/building2.bmp
jp2k/img164.bmp,27.12291262526799,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img165.bmp,31.170624384086207,dancers,refimgs/dancers.bmp
jp2k/img167.bmp,53.28198369850484,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img168.bmp,53.17519436960078,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img169.bmp,62.921171333425676,statue,refimgs/statue.bmp
jp2k/img170.bmp,50.18659635541299,dancers,refimgs/dancers.bmp
jp2k/img171.bmp,22.217464309979974,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img172.bmp,85.01806693016354,sailing4,refimgs/sailing4.bmp
jp2k/img173.bmp,19.91475165122249,plane,refimgs/plane.bmp
jp2k/img174.bmp,8.059516033306664,lighthouse,refimgs/lighthouse.bmp
jp2k/img175.bmp,85.48562881018705,stream,refimgs/stream.bmp
jp2k/img176.bmp,27.91393339154686,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img177.bmp,79.87842062142371,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img178.bmp,57.3881566885844,cemetry,refimgs/cemetry.bmp
jp2k/img179.bmp,85.22814758598726,house,refimgs/house.bmp
jp2k/img181.bmp,85.99580545278485,carnivaldolls,refimgs/carnivaldolls.bmp
jp2k/img182.bmp,40.35229915118953,coinsinfountain,refimgs/coinsinfountain.bmp
jp2k/img183.bmp,6.9169396698473875,sailing3,refimgs/sailing3.bmp
jp2k/img185.bmp,14.884889320853098,sailing2,refimgs/sailing2.bmp
jp2k/img187.bmp,29.918572366378623,house,refimgs/house.bmp
jp2k/img191.bmp,78.15701680889988,womanhat,refimgs/womanhat.bmp
jp2k/img192.bmp,36.783046895916954,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img193.bmp,64.20563602792637,caps,refimgs/caps.bmp
jp2k/img194.bmp,71.78425770359317,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img195.bmp,5.069478056203863,womanhat,refimgs/womanhat.bmp
jp2k/img196.bmp,62.73568208890111,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img197.bmp,46.32614968909792,parrots,refimgs/parrots.bmp
jp2k/img198.bmp,9.471745688649861,churchandcapitol,refimgs/churchandcapitol.bmp
jp2k/img199.bmp,5.003953255961413,buildings,refimgs/buildings.bmp
jp2k/img200.bmp,68.36853015382121,manfishing,refimgs/manfishing.bmp
jp2k/img201.bmp,91.08313008268817,flowersonih35,refimgs/flowersonih35.bmp
jp2k/img202.bmp,75.76154338417216,lighthouse,refimgs/lighthouse.bmp
jp2k/img203.bmp,41.031767097846874,plane,refimgs/plane.bmp
jp2k/img205.bmp,12.300226616537323,dancers,refimgs/dancers.bmp
jp2k/img208.bmp,48.46820552061156,monarch,refimgs/monarch.bmp
jp2k/img210.bmp,26.665408082124756,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img211.bmp,7.205306730310632,lighthouse2,refimgs/lighthouse2.bmp
jp2k/img212.bmp,5.5443651518750485,house,refimgs/house.bmp
jp2k/img213.bmp,76.06673091499994,sailing1,refimgs/sailing1.bmp
jp2k/img214.bmp,7.692346791817002,sailing1,refimgs/sailing1.bmp
jp2k/img215.bmp,73.31007213059178,paintedhouse,refimgs/paintedhouse.bmp
jp2k/img216.bmp,12.116677268629225,building2,refimgs/building2.bmp
jp2k/img217.bmp,10.13926391720382,stream,refimgs/stream.bmp
jp2k/img218.bmp,67.96320399587412,studentsculpture,refimgs/studentsculpture.bmp
jp2k/img219.bmp,72.24909155691115,ocean,refimgs/ocean.bmp
jp2k/img220.bmp,70.83986290434613,plane,refimgs/plane.bmp
jp2k/img221.bmp,64.72585217139644,sailing4,refimgs/sailing4.bmp
jp2k/img222.bmp,31.27751399241848,buildings,refimgs/buildings.bmp
jp2k/img225.bmp,82.73289778928405,bikes,refimgs/bikes.bmp
jp2k/img226.bmp,55.520005193382154,womanhat,refimgs/womanhat.bmp
jp2k/img227.bmp,70.88031632329827,statue,refimgs/statue.bmp
jpeg/img1.bmp,52.92435457391395,womanhat,refimgs/womanhat.bmp
jpeg/img2.bmp,33.28319804594844,churchandcapitol,refimgs/churchandcapitol.bmp
jpeg/img4.bmp,87.8267449661924,churchandcapitol,refimgs/churchandcapitol.bmp
jpeg/img8.bmp,14.344775300339105,ocean,refimgs/ocean.bmp
jpeg/img9.bmp,59.74032431349464,rapids,refimgs/rapids.bmp
jpeg/img11.bmp,53.951334760512935,statue,refimgs/statue.bmp
jpeg/img13.bmp,-0.1946068687639695,statue,refimgs/statue.bmp
jpeg/img14.bmp,4.326856120694956,carnivaldolls,refimgs/carnivaldolls.bmp
jpeg/img15.bmp,41.36730112939379,sailing4,refimgs/sailing4.bmp
jpeg/img16.bmp,47.80251084716316,stream,refimgs/stream.bmp
jpeg/img17.bmp,4.495168881480339,plane,refimgs/plane.bmp
jpeg/img18.bmp,47.285871717563985,monarch,refimgs/monarch.bmp
jpeg/img21.bmp,50.1232463479616,churchandcapitol,refimgs/churchandcapitol.bmp
jpeg/img23.bmp,79.95944789006504,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img24.bmp,12.56494613089226,caps,refimgs/caps.bmp
jpeg/img25.bmp,35.4156346289015,plane,refimgs/plane.bmp
jpeg/img27.bmp,34.31539467108672,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img29.bmp,63.690729469898855,bikes,refimgs/bikes.bmp
jpeg/img30.bmp,6.601376948035167,ocean,refimgs/ocean.bmp
jpeg/img32.bmp,33.49425871523598,parrots,refimgs/parrots.bmp
jpeg/img33.bmp,42.614722076241115,manfishing,refimgs/manfishing.bmp
jpeg/img35.bmp,75.29290636099799,rapids,refimgs/rapids.bmp
jpeg/img36.bmp,72.0575019048246,building2,refimgs/building2.bmp
jpeg/img37.bmp,64.62638897500841,sailing4,refimgs/sailing4.bmp
jpeg/img38.bmp,18.02857959226172,sailing3,refimgs/sailing3.bmp
jpeg/img39.bmp,50.40120766199397,dancers,refimgs/dancers.bmp
jpeg/img40.bmp,12.654106278200903,plane,refimgs/plane.bmp
jpeg/img41.bmp,59.873965229834056,dancers,refimgs/dancers.bmp
jpeg/img43.bmp,41.47905246219578,buildings,refimgs/buildings.bmp
jpeg/img44.bmp,38.18877059392042,lighthouse,refimgs/lighthouse.bmp
jpeg/img45.bmp,34.439397588231365,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img46.bmp,72.81442149222269,cemetry,refimgs/cemetry.bmp
jpeg/img47.bmp,48.528157253793196,sailing4,refimgs/sailing4.bmp
jpeg/img49.bmp,32.754563027117996,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img50.bmp,57.08857633912254,house,refimgs/house.bmp
jpeg/img51.bmp,28.944995605272247,house,refimgs/house.bmp
jpeg/img53.bmp,10.226303647528617,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img55.bmp,33.240480634782365,cemetry,refimgs/cemetry.bmp
jpeg/img56.bmp,32.00986641270259,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img57.bmp,-2.6400150164096132,lighthouse,refimgs/lighthouse.bmp
jpeg/img58.bmp,10.554131539493454,woman,refimgs/woman.bmp
jpeg/img59.bmp,33.58553766172936,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img60.bmp,45.8290134752761,building2,refimgs/building2.bmp
jpeg/img61.bmp,9.1741835265355,dancers,refimgs/dancers.bmp
jpeg/img62.bmp,67.83771180597611,building2,refimgs/building2.bmp
jpeg/img63.bmp,30.00260877004913,caps,refimgs/caps.bmp
jpeg/img64.bmp,3.2142639437019938,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img65.bmp,53.38597873417673,woman,refimgs/woman.bmp
jpeg/img67.bmp,21.662276200071243,sailing2,refimgs/sailing2.bmp
jpeg/img69.bmp,48.86921270308122,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img70.bmp,-0.12771347553550072,statue,refimgs/statue.bmp
jpeg/img71.bmp,16.917691044533527,sailing1,refimgs/sailing1.bmp
jpeg/img72.bmp,12.004960528290617,parrots,refimgs/parrots.bmp
jpeg/img73.bmp,36.604170671940494,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img74.bmp,5.51411590094478,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img75.bmp,51.3960375162062,house,refimgs/house.bmp
jpeg/img77.bmp,53.2796828380246,bikes,refimgs/bikes.bmp
jpeg/img78.bmp,72.32423365260935,cemetry,refimgs/cemetry.bmp
jpeg/img79.bmp,89.53004585169111,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img80.bmp,67.77811693105684,carnivaldolls,refimgs/carnivaldolls.bmp
jpeg/img81.bmp,43.03955573949191,bikes,refimgs/bikes.bmp
jpeg/img83.bmp,28.507933641096496,sailing3,refimgs/sailing3.bmp
jpeg/img84.bmp,46.146808723433985,buildings,refimgs/buildings.bmp
jpeg/img85.bmp,64.18240178201884,stream,refimgs/stream.bmp
jpeg/img86.bmp,42.57624280517876,lighthouse,refimgs/lighthouse.bmp
jpeg/img89.bmp,36.284648557807834,womanhat,refimgs/womanhat.bmp
jpeg/img90.bmp,42.04320025216914,buildings,refimgs/buildings.bmp
jpeg/img91.bmp,78.97568682896502,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img92.bmp,48.37469886200194,manfishing,refimgs/manfishing.bmp
jpeg/img93.bmp,58.589684139333414,manfishing,refimgs/manfishing.bmp
jpeg/img94.bmp,14.62195076567486,monarch,refimgs/monarch.bmp
jpeg/img96.bmp,3.9212125972238567,monarch,refimgs/monarch.bmp
jpeg/img97.bmp,5.308643571535107,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img98.bmp,19.871604986952033,ocean,refimgs/ocean.bmp
jpeg/img99.bmp,42.27140041690989,sailing2,refimgs/sailing2.bmp
jpeg/img100.bmp,81.2026938220347,stream,refimgs/stream.bmp
jpeg/img101.bmp,10.252515880885852,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img102.bmp,14.726130517984881,sailing1,refimgs/sailing1.bmp
jpeg/img103.bmp,37.78061796136218,parrots,refimgs/parrots.bmp
jpeg/img104.bmp,67.40278120147042,carnivaldolls,refimgs/carnivaldolls.bmp
jpeg/img105.bmp,33.96635629198161,caps,refimgs/caps.bmp
jpeg/img106.bmp,3.2197367648266635,sailing1,refimgs/sailing1.bmp
jpeg/img107.bmp,25.83817914298309,womanhat,refimgs/womanhat.bmp
jpeg/img108.bmp,53.61612003847755,sailing3,refimgs/sailing3.bmp
jpeg/img110.bmp,40.313192795130504,rapids,refimgs/rapids.bmp
jpeg/img111.bmp,36.936772747192386,sailing2,refimgs/sailing2.bmp
jpeg/img116.bmp,8.406881996436613,woman,refimgs/woman.bmp
jpeg/img117.bmp,24.492692678265385,cemetry,refimgs/cemetry.bmp
jpeg/img119.bmp,36.46779215661733,dancers,refimgs/dancers.bmp
jpeg/img120.bmp,13.720589197831565,house,refimgs/house.bmp
jpeg/img121.bmp,46.661554457382735,sailing1,refimgs/sailing1.bmp
jpeg/img124.bmp,91.8585232966015,sailing2,refimgs/sailing2.bmp
jpeg/img126.bmp,91.83072941409385,caps,refimgs/caps.bmp
jpeg/img127.bmp,90.06909938102645,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img128.bmp,52.32392778595446,cemetry,refimgs/cemetry.bmp
jpeg/img129.bmp,76.55613665524052,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img130.bmp,11.018019466557469,statue,refimgs/statue.bmp
jpeg/img131.bmp,89.84228100588449,lighthouse,refimgs/lighthouse.bmp
jpeg/img132.bmp,11.71563815997088,churchandcapitol,refimgs/churchandcapitol.bmp
jpeg/img134.bmp,72.35535092106369,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img135.bmp,8.62310279882778,manfishing,refimgs/manfishing.bmp
jpeg/img137.bmp,9.808299742983458,stream,refimgs/stream.bmp
jpeg/img138.bmp,94.52975239220282,womanhat,refimgs/womanhat.bmp
jpeg/img141.bmp,14.731573993200833,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img143.bmp,6.837113454327479,ocean,refimgs/ocean.bmp
jpeg/img144.bmp,8.547930933970449,sailing2,refimgs/sailing2.bmp
jpeg/img145.bmp,100.24091440063674,sailing3,refimgs/sailing3.bmp
jpeg/img146.bmp,26.185666958535705,rapids,refimgs/rapids.bmp
jpeg/img147.bmp,100.91708991281492,house,refimgs/house.bmp
jpeg/img148.bmp,92.90511853394918,manfishing,refimgs/manfishing.bmp
jpeg/img149.bmp,63.46863408758387,parrots,refimgs/parrots.bmp
jpeg/img150.bmp,27.261974430150573,woman,refimgs/woman.bmp
jpeg/img151.bmp,8.066866303180433,house,refimgs/house.bmp
jpeg/img152.bmp,55.04442894789427,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img154.bmp,97.50877362944289,womanhat,refimgs/womanhat.bmp
jpeg/img156.bmp,59.64918850292218,ocean,refimgs/ocean.bmp
jpeg/img157.bmp,13.703159478546446,buildings,refimgs/buildings.bmp
jpeg/img159.bmp,91.34350033825854,caps,refimgs/caps.bmp
jpeg/img160.bmp,95.5184845722614,house,refimgs/house.bmp
jpeg/img161.bmp,90.43420904041339,lighthouse,refimgs/lighthouse.bmp
jpeg/img162.bmp,88.14234661943546,buildings,refimgs/buildings.bmp
jpeg/img163.bmp,28.821989373974375,buildings,refimgs/buildings.bmp
jpeg/img164.bmp,108.77257436149551,ocean,refimgs/ocean.bmp
jpeg/img165.bmp,58.335170619177745,plane,refimgs/plane.bmp
jpeg/img166.bmp,95.0385986077363,sailing4,refimgs/sailing4.bmp
jpeg/img167.bmp,75.99002346051728,woman,refimgs/woman.bmp
jpeg/img168.bmp,11.312092615683753,womanhat,refimgs/womanhat.bmp
jpeg/img170.bmp,83.55329291418636,monarch,refimgs/monarch.bmp
jpeg/img171.bmp,18.143107738796367,building2,refimgs/building2.bmp
jpeg/img174.bmp,19.465821038563057,manfishing,refimgs/manfishing.bmp
jpeg/img175.bmp,70.50244384897171,sailing1,refimgs/sailing1.bmp
jpeg/img176.bmp,90.00784725087408,carnivaldolls,refimgs/carnivaldolls.bmp
jpeg/img177.bmp,89.89062469317183,sailing2,refimgs/sailing2.bmp
jpeg/img178.bmp,25.222785826131556,monarch,refimgs/monarch.bmp
jpeg/img180.bmp,91.24663994961543,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img181.bmp,78.16782270134613,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img183.bmp,84.88609788754106,bikes,refimgs/bikes.bmp
jpeg/img184.bmp,92.52520895124621,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img185.bmp,26.71821304692204,stream,refimgs/stream.bmp
jpeg/img186.bmp,89.23441705756257,dancers,refimgs/dancers.bmp
jpeg/img187.bmp,91.61747826509418,dancers,refimgs/dancers.bmp
jpeg/img188.bmp,83.03358943312271,bikes,refimgs/bikes.bmp
jpeg/img192.bmp,93.03653291816838,building2,refimgs/building2.bmp
jpeg/img194.bmp,34.60644513743412,ocean,refimgs/ocean.bmp
jpeg/img195.bmp,97.24677520689923,churchandcapitol,refimgs/churchandcapitol.bmp
jpeg/img196.bmp,91.590670464724,parrots,refimgs/parrots.bmp
jpeg/img197.bmp,94.63456567363843,sailing4,refimgs/sailing4.bmp
jpeg/img198.bmp,16.644122962021108,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img199.bmp,95.80804387069,rapids,refimgs/rapids.bmp
jpeg/img200.bmp,63.30761338204381,studentsculpture,refimgs/studentsculpture.bmp
jpeg/img201.bmp,88.92048271630968,plane,refimgs/plane.bmp
jpeg/img203.bmp,28.5502551905385,bikes,refimgs/bikes.bmp
jpeg/img204.bmp,89.6422329700044,buildings,refimgs/buildings.bmp
jpeg/img205.bmp,88.2209328213845,building2,refimgs/building2.bmp
jpeg/img206.bmp,11.739931694595015,sailing3,refimgs/sailing3.bmp
jpeg/img207.bmp,70.02463837460913,caps,refimgs/caps.bmp
jpeg/img209.bmp,88.77366918617133,monarch,refimgs/monarch.bmp
jpeg/img210.bmp,97.42810231821008,sailing1,refimgs/sailing1.bmp
jpeg/img213.bmp,85.98716482193281,cemetry,refimgs/cemetry.bmp
jpeg/img214.bmp,14.430548416582262,sailing4,refimgs/sailing4.bmp
jpeg/img215.bmp,102.70082156574153,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img216.bmp,20.934069322543586,carnivaldolls,refimgs/carnivaldolls.bmp
jpeg/img217.bmp,101.27286341299555,stream,refimgs/stream.bmp
jpeg/img218.bmp,92.65269870718299,statue,refimgs/statue.bmp
jpeg/img220.bmp,88.66925863108538,woman,refimgs/woman.bmp
jpeg/img221.bmp,93.81353439730438,statue,refimgs/statue.bmp
jpeg/img223.bmp,99.9719981674867,sailing3,refimgs/sailing3.bmp
jpeg/img225.bmp,32.713131566176116,building2,refimgs/building2.bmp
jpeg/img226.bmp,17.78062954880489,bikes,refimgs/bikes.bmp
jpeg/img228.bmp,15.783100447893545,paintedhouse,refimgs/paintedhouse.bmp
jpeg/img229.bmp,73.10480214469187,flowersonih35,refimgs/flowersonih35.bmp
jpeg/img230.bmp,90.8843446287281,coinsinfountain,refimgs/coinsinfountain.bmp
jpeg/img231.bmp,13.033490455438155,lighthouse,refimgs/lighthouse.bmp
jpeg/img232.bmp,93.19974618228805,lighthouse2,refimgs/lighthouse2.bmp
jpeg/img233.bmp,87.78082391853036,parrots,refimgs/parrots.bmp
wn/img1.bmp,29.04653971785669,monarch,refimgs/monarch.bmp
wn/img2.bmp,64.7619409950328,stream,refimgs/stream.bmp
wn/img3.bmp,44.78193070765691,womanhat,refimgs/womanhat.bmp
wn/img4.bmp,105.36416799729716,buildings,refimgs/buildings.bmp
wn/img5.bmp,18.148429410111873,sailing3,refimgs/sailing3.bmp
wn/img6.bmp,28.91034396173228,lighthouse2,refimgs/lighthouse2.bmp
wn/img7.bmp,67.62651762533173,woman,refimgs/woman.bmp
wn/img8.bmp,15.537140817336706,coinsinfountain,refimgs/coinsinfountain.bmp
wn/img9.bmp,63.02744749154707,cemetry,refimgs/cemetry.bmp
wn/img10.bmp,33.4482460351677,plane,refimgs/plane.bmp
wn/img11.bmp,23.03858179465982,womanhat,refimgs/womanhat.bmp
wn/img12.bmp,46.19136201986183,sailing2,refimgs/sailing2.bmp
wn/img13.bmp,21.927888248041903,churchandcapitol,refimgs/churchandcapitol.bmp
wn/img14.bmp,14.775415943838567,carnivaldolls,refimgs/carnivaldolls.bmp
wn/img15.bmp,93.91355403240952,dancers,refimgs/dancers.bmp
wn/img16.bmp,40.79594818906652,studentsculpture,refimgs/studentsculpture.bmp
wn/img17.bmp,51.406684831170054,monarch,refimgs/monarch.bmp
